source,collection_date,company_name,ticker,cik,country,registry_url,entity_type,status,company_number,company_type,incorporation_date,sic_codes,registered_office_address,corporation_number,corporation_type,registered_office,acn,abn,registration_date,principal_place_of_business,registration_number,legal_form,business_purpose,euid,entity_number,formation_date,registered_agent,cin,company_category,company_sub_category,date_of_incorporation,roc,entity_id,state,registry_id,data_source,revenue_range
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.325806,RIO TINTO LTD,RTNTF,0000887028,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.426632,"CrowdStrike Holdings, Inc.",CRWD,0001535527,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.527319,"MARSH & MCLENNAN COMPANIES, INC.",MMC,0000062709,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.627810,VERTEX PHARMACEUTICALS INC / MA,VRTX,0000875320,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.728874,LOCKHEED MARTIN CORP,LMT,0000936468,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.829454,KKR & Co. Inc.,KKR,0001404912,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.929905,COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRUY,0000948401,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.030369,AMPHENOL CORP /DE/,APH,0000820313,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.130792,"Arista Networks, Inc.",ANET,0001596532,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.241615,CONOCOPHILLIPS,COP,0001163165,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.346552,Medtronic plc,MDT,0001613103,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.447340,ANALOG DEVICES INC,ADI,0000006281,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.548254,MICRON TECHNOLOGY INC,MU,0000723125,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.648913,CME GROUP INC.,CME,0001156375,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.761438,"Intercontinental Exchange, Inc.",ICE,0001571949,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.875506,LAM RESEARCH CORP,LRCX,0000707549,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:56.991111,UBS Group AG,UBS,0001610520,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.092473,"ALTRIA GROUP, INC.",MO,0000764180,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.193742,MICROSTRATEGY Inc,MSTR,0001050446,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.294084,RELX PLC,RELX,0000929869,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.395342,ENBRIDGE INC,ENB,0000895728,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.495855,WELLTOWER INC.,WELL,0000766704,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.596139,"Prologis, Inc.",PLD,0001045609,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.696921,AMERICAN TOWER CORP /MA/,AMT,0001053507,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.797538,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",SMFG,0001022837,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.898295,KLA CORP,KLAC,0000319201,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:57.998770,British American Tobacco p.l.c.,BTI,0001303523,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:58.099383,BNP PARIBAS,BNPQY,0000310732,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:58.199844,SOUTHERN CO,SO,0000092122,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:58.300187,BRISTOL MYERS SQUIBB CO,BMY,0000014272,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:58.401125,WASTE MANAGEMENT INC,WM,0000823768,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:58.501591,RIO TINTO PLC,RIO,0000863064,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:58.602148,Trane Technologies plc,TT,0001466258,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:58.702994,STARBUCKS CORP,SBUX,0000829224,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:58.803462,Constellation Energy Corp,CEG,0001868275,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:58.903711,Sea Ltd,SE,0001703399,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:59.003926,"HCA Healthcare, Inc.",HCA,0000860730,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:59.104389,CINTAS CORP,CTAS,0000723254,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:59.204850,Duke Energy CORP,DUK,0001326160,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:59.305552,MCKESSON CORP,MCK,0000927653,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:59.406196,"NIKE, Inc.",NKE,0000320187,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:59.507090,SHERWIN WILLIAMS CO,SHW,0000089800,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
